epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,144.41,1.27749,9.53752,0.66583,1.1069,1.15952,0.19058,0.35714,0.15261,0.05768,0,0,0,0,2.33087,10.921,0.68436,2.55986,2.07627,0.0004298,0.0004298,0.0004298
72,146.31,1.24555,9.14141,0.66003,1.09641,1.21591,0.13264,0.35714,0.13522,0.0538,0,0,0,0,2.31816,10.8855,0.68237,2.62025,2.07748,0.000421882,0.000421882,0.000421882
73,148.189,0.94573,8.64103,0.66729,0.84064,1.06094,0.13264,0.35714,0.13522,0.0538,0,0,0,0,2.31816,10.8855,0.68237,2.62025,2.07748,0.000413568,0.000413568,0.000413568
74,150.166,0.90604,8.63914,0.65724,0.81708,1.10277,0.13264,0.35714,0.13522,0.0538,0,0,0,0,2.31816,10.8855,0.68237,2.62025,2.07748,0.000404858,0.000404858,0.000404858
75,152.32,1.2984,7.28889,0.66052,1.01709,1.32516,0.14783,0.5,0.14182,0.05856,0,0,0,0,2.31915,10.9006,0.68336,2.58632,2.05014,0.000395752,0.000395752,0.000395752
76,154.262,0.78133,8.26126,0.63665,0.76496,1.05178,0.14783,0.5,0.14182,0.05856,0,0,0,0,2.31915,10.9006,0.68336,2.58632,2.05014,0.00038625,0.00038625,0.00038625
77,156.216,1.02005,7.65096,0.66541,0.80846,1.17353,0.14783,0.5,0.14182,0.05856,0,0,0,0,2.31915,10.9006,0.68336,2.58632,2.05014,0.000376352,0.000376352,0.000376352
78,158.178,0.9252,8.68436,0.65638,0.83902,1.11896,0.15704,0.5722,0.1421,0.06013,0,0,0,0,2.31994,10.9004,0.68195,2.55917,2.04808,0.000366058,0.000366058,0.000366058
79,160.113,1.01089,7.91307,0.63376,0.88753,1.15247,0.15704,0.5722,0.1421,0.06013,0,0,0,0,2.31994,10.9004,0.68195,2.55917,2.04808,0.000355368,0.000355368,0.000355368
80,162.035,1.18585,8.17042,0.68321,1.04313,1.12265,0.15704,0.5722,0.1421,0.06013,0,0,0,0,2.31994,10.9004,0.68195,2.55917,2.04808,0.000344282,0.000344282,0.000344282
81,164.009,0.76057,8.17135,0.67316,0.67007,1.08968,0.15819,0.5,0.13127,0.05931,0,0,0,0,2.32394,10.8842,0.67949,2.52607,2.06749,0.0003328,0.0003328,0.0003328
82,165.901,1.04791,6.8037,0.63287,0.80127,1.14303,0.15819,0.5,0.13127,0.05931,0,0,0,0,2.32394,10.8842,0.67949,2.52607,2.06749,0.000320922,0.000320922,0.000320922
83,167.892,0.81901,8.48972,0.6506,0.78036,1.00787,0.15819,0.5,0.13127,0.05931,0,0,0,0,2.32394,10.8842,0.67949,2.52607,2.06749,0.000308648,0.000308648,0.000308648
84,169.856,1.1391,8.38004,0.67467,0.9126,1.20871,0.17132,0.57143,0.14152,0.05766,0,0,0,0,2.35357,10.8962,0.67878,2.49809,2.10303,0.000295978,0.000295978,0.000295978
85,171.753,0.77917,8.19231,0.62538,0.85696,1.07356,0.17132,0.57143,0.14152,0.05766,0,0,0,0,2.35357,10.8962,0.67878,2.49809,2.10303,0.000282912,0.000282912,0.000282912
86,173.693,1.21005,8.87723,0.66893,0.9514,1.26291,0.17132,0.57143,0.14152,0.05766,0,0,0,0,2.35357,10.8962,0.67878,2.49809,2.10303,0.00026945,0.00026945,0.00026945
87,175.581,0.89997,8.07029,0.65989,0.65939,1.08432,0.17132,0.57143,0.14152,0.05766,0,0,0,0,2.35357,10.8962,0.67878,2.49809,2.10303,0.000255592,0.000255592,0.000255592
88,177.541,0.86843,7.9094,0.69342,0.80967,1.02875,0.19265,0.64286,0.15146,0.06086,0,0,0,0,2.32843,10.8782,0.67802,2.48535,2.10478,0.000241338,0.000241338,0.000241338
89,179.376,0.71716,8.28875,0.66712,0.64608,1.01084,0.19265,0.64286,0.15146,0.06086,0,0,0,0,2.32843,10.8782,0.67802,2.48535,2.10478,0.000226688,0.000226688,0.000226688
90,181.302,0.83617,7.87138,0.63069,0.67477,0.98936,0.19265,0.64286,0.15146,0.06086,0,0,0,0,2.32843,10.8782,0.67802,2.48535,2.10478,0.000211642,0.000211642,0.000211642
91,183.239,1.05007,7.78185,0.64952,0.87273,0.94363,0.19265,0.64286,0.15146,0.06086,0,0,0,0,2.32843,10.8782,0.67802,2.48535,2.10478,0.0001962,0.0001962,0.0001962
92,185.177,0.66272,7.44883,0.61593,0.67353,0.88196,0.19354,0.64286,0.15401,0.05894,0,0,0,0,2.32378,10.9224,0.67629,2.46995,2.08972,0.000180362,0.000180362,0.000180362
93,187.071,0.81941,8.15771,0.59963,0.65359,1.04837,0.19354,0.64286,0.15401,0.05894,0,0,0,0,2.32378,10.9224,0.67629,2.46995,2.08972,0.000164128,0.000164128,0.000164128
94,188.907,0.75211,8.79898,0.60936,0.74801,0.94934,0.19354,0.64286,0.15401,0.05894,0,0,0,0,2.32378,10.9224,0.67629,2.46995,2.08972,0.000147498,0.000147498,0.000147498
95,190.817,0.66771,8.40212,0.6131,0.6387,1.03565,0.19354,0.64286,0.15401,0.05894,0,0,0,0,2.32378,10.9224,0.67629,2.46995,2.08972,0.000130472,0.000130472,0.000130472
96,192.774,0.90701,8.2812,0.61701,0.81678,1.17211,0.18419,0.57143,0.15149,0.06178,0,0,0,0,2.29021,10.9292,0.67608,2.41194,2.06032,0.00011305,0.00011305,0.00011305
97,194.681,0.75237,7.55608,0.63091,0.73095,0.97216,0.18419,0.57143,0.15149,0.06178,0,0,0,0,2.29021,10.9292,0.67608,2.41194,2.06032,9.5232e-05,9.5232e-05,9.5232e-05
98,196.686,0.72469,8.0321,0.59925,0.60479,1.09897,0.18419,0.57143,0.15149,0.06178,0,0,0,0,2.29021,10.9292,0.67608,2.41194,2.06032,7.7018e-05,7.7018e-05,7.7018e-05
99,198.54,0.70978,7.40627,0.62572,0.69569,0.90165,0.18419,0.57143,0.15149,0.06178,0,0,0,0,2.29021,10.9292,0.67608,2.41194,2.06032,5.8408e-05,5.8408e-05,5.8408e-05
100,200.497,0.73591,7.63559,0.62135,0.6618,0.89306,0.17941,0.5314,0.14347,0.06411,0,0,0,0,2.26713,10.9289,0.67668,2.41178,2.03529,3.9402e-05,3.9402e-05,3.9402e-05
